b1,1CC rate,2CC rate,Game 1 rate,strat_space,transition,strat
1.0,0.01917466836830468,0.0,1.0,S_04,NA,S_04_NA
1.14,0.026883091473315468,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.030006966875311937,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.035075069729898774,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.040178519342643534,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.050451342442805656,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06286683862880595,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.10435381803591744,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.18616085219744494,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.559721668919353,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.8113304253131808,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9536061365288436,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.994075607219434,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9934239852617021,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9949646959385192,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.9953944888633952,0.0,1.0,S_04,NA,S_04_NA
1.0,0.017782962005657068,0.0,1.0,S_04,NA,S_04_NA
1.14,0.025551156049238383,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.03049090086104372,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.03424027832524235,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.03974967073202596,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.048224372189053635,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06114053869443276,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.09778079726896244,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.2273586126351321,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.4208324784369771,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.8140545993731159,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9261217771247972,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.9920366242642192,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9951622271510568,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9959074585746598,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.99484884271597,0.0,1.0,S_04,NA,S_04_NA
1.0,0.018039908802223486,0.0,1.0,S_04,NA,S_04_NA
1.14,0.027872322206993986,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.029274747488823957,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.033569506211259266,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.04086371557722652,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.05045498721865364,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06500184817257312,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.10168902687213212,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.19557564698659213,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.484471901050695,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.832928052089206,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9524784494896058,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.9840200529505664,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9947813761927552,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9949473506452922,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.9945060573539092,0.0,1.0,S_04,NA,S_04_NA
1.0,0.017291197452435708,0.0,1.0,S_04,NA,S_04_NA
1.14,0.02641874477447936,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.0291436011670909,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.03622336159713628,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.04101368078575651,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.047409227053103214,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06358239608593884,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.0976645948328253,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.19998440961768169,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.5059232589307493,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.8165324609985409,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9656486604879818,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.9908414547268743,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9923040555231769,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9955322713794648,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.9951539569379634,0.0,1.0,S_04,NA,S_04_NA
1.0,0.021131893679767016,0.0,1.0,S_04,NA,S_04_NA
1.14,0.026600374972770596,0.0,1.0,S_04,NA,S_04_NA
1.2800000000000002,0.02840453610607257,0.0,1.0,S_04,NA,S_04_NA
1.4200000000000004,0.034101220039155056,0.0,1.0,S_04,NA,S_04_NA
1.5600000000000005,0.042268013645968806,0.0,1.0,S_04,NA,S_04_NA
1.7000000000000006,0.05049168528875731,0.0,1.0,S_04,NA,S_04_NA
1.8400000000000007,0.06300005753704165,0.0,1.0,S_04,NA,S_04_NA
1.9800000000000009,0.10330113039037386,0.0,1.0,S_04,NA,S_04_NA
2.120000000000001,0.20778383191286615,0.0,1.0,S_04,NA,S_04_NA
2.2600000000000007,0.4607214644823381,0.0,1.0,S_04,NA,S_04_NA
2.400000000000001,0.8362496374122008,0.0,1.0,S_04,NA,S_04_NA
2.5400000000000014,0.9465797633369241,0.0,1.0,S_04,NA,S_04_NA
2.680000000000001,0.9844096595292079,0.0,1.0,S_04,NA,S_04_NA
2.8200000000000016,0.9938462780036562,0.0,1.0,S_04,NA,S_04_NA
2.9600000000000017,0.9952069992407644,0.0,1.0,S_04,NA,S_04_NA
3.100000000000002,0.9954934191795841,0.0,1.0,S_04,NA,S_04_NA
